"species_lump","present_below_south","present_within_buffer","present_above_north","present_observations_site","total_observations","sites_in_buffer","sites_present","total_sites","total_counts","percent_years_present","range_edge_category","range_lat","id"
"Verrucaria maura",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","37.89-38.13",10
"Xingyurella turgida",TRUE,FALSE,FALSE,0,242,4,0,103,1,0,"Southern Only Presence","37.89-38.13",10
"Zonaria farlowii",TRUE,FALSE,FALSE,0,242,4,0,103,81,0,"Southern Only Presence","37.89-38.13",10
"Zostera spp",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","37.89-38.13",10
"Abietinaria/Amphisbetia spp",TRUE,TRUE,TRUE,2,242,10,2,103,9,4.54545454545455,"Continuous Presence","38.13-38.83",11
"Acanthinucella paucilirata",TRUE,FALSE,FALSE,0,313,10,0,108,4,0,"Southern Only Presence","38.13-38.83",11
"Acanthinucella spp",TRUE,FALSE,TRUE,0,313,10,0,108,2214,0,"Avoidant","38.13-38.83",11
"Acmaea mitra",TRUE,TRUE,TRUE,3,313,10,2,108,141,8.33333333333333,"Continuous Presence","38.13-38.83",11
"Acrosiphonia/Cladophora spp",TRUE,TRUE,TRUE,3,242,10,3,103,175,4.54545454545455,"Continuous Presence","38.13-38.83",11
"Acrosorium ciliolatum",TRUE,FALSE,FALSE,0,242,10,0,103,143,0,"Southern Only Presence","38.13-38.83",11
"Aeolidia papillosa",TRUE,FALSE,FALSE,0,313,10,0,108,3,0,"Southern Only Presence","38.13-38.83",11
"Aglaophenia spp",TRUE,TRUE,TRUE,2,242,10,2,103,18,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Ahnfeltia fastigiata",TRUE,FALSE,TRUE,0,242,10,0,103,117,0,"Avoidant","38.13-38.83",11
"Ahnfeltiopsis linearis",TRUE,FALSE,TRUE,0,242,10,0,103,56,0,"Avoidant","38.13-38.83",11
"Alaria marginata",TRUE,TRUE,TRUE,17,242,10,8,103,1018,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Alia spp",TRUE,TRUE,TRUE,7,313,10,4,108,1445,25,"Continuous Presence","38.13-38.83",11
"Amphiroa beauvoisii",TRUE,FALSE,FALSE,0,242,10,0,103,2,0,"Southern Only Presence","38.13-38.83",11
"Amphissa columbiana",TRUE,TRUE,TRUE,1,313,10,1,108,31,4.16666666666667,"Continuous Presence","38.13-38.83",11
"Amphissa versicolor",TRUE,TRUE,TRUE,5,313,10,3,108,299,20.8333333333333,"Continuous Presence","38.13-38.83",11
"Analipus japonicus",TRUE,TRUE,TRUE,10,242,10,6,103,379,31.8181818181818,"Continuous Presence","38.13-38.83",11
"Anisocladella pacifica",TRUE,FALSE,FALSE,0,242,10,0,103,4,0,"Southern Only Presence","38.13-38.83",11
"Anthopleura artemisia",TRUE,FALSE,TRUE,0,242,10,0,103,3,0,"Avoidant","38.13-38.83",11
"Anthopleura elegantissima",TRUE,TRUE,TRUE,15,242,10,8,103,5148,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Anthopleura sola",TRUE,TRUE,FALSE,5,242,10,2,103,2460,18.1818181818182,"Northern Range Edge","38.13-38.83",11
"Anthopleura xanthogrammica",TRUE,TRUE,TRUE,19,242,10,9,103,791,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Antithamnionella spp",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Aplidium spp",TRUE,TRUE,TRUE,3,242,10,2,103,73,13.6363636363636,"Continuous Presence","38.13-38.83",11
"Aplysia californica",TRUE,FALSE,FALSE,0,313,10,0,108,11,0,"Southern Only Presence","38.13-38.83",11
"Asparagopsis taxiformis",TRUE,FALSE,FALSE,0,242,10,0,103,97,0,"Southern Only Presence","38.13-38.83",11
"Atrimitra idae",FALSE,FALSE,FALSE,0,313,10,0,108,0,0,"Absent","38.13-38.83",11
"Balanus crenatus",FALSE,TRUE,FALSE,1,242,10,1,103,1,4.54545454545455,"Endemic Presence","38.13-38.83",11
"Balanus glandula",TRUE,TRUE,TRUE,19,242,10,9,103,5046,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Balanus glandula/Semibalanus balanoides",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Balanus nubilus",TRUE,FALSE,TRUE,0,242,10,0,103,6,0,"Avoidant","38.13-38.83",11
"Bangia spp",TRUE,FALSE,FALSE,0,242,10,0,103,63,0,"Southern Only Presence","38.13-38.83",11
"Besa leptophylla",TRUE,FALSE,FALSE,0,242,10,0,103,41,0,"Southern Only Presence","38.13-38.83",11
"Bittium eschrichtii",TRUE,TRUE,TRUE,7,313,10,6,108,898,16.6666666666667,"Continuous Presence","38.13-38.83",11
"Boring clam",TRUE,FALSE,TRUE,0,242,10,0,103,12,0,"Avoidant","38.13-38.83",11
"Bossiella spp",TRUE,TRUE,TRUE,18,242,10,10,103,1442,31.8181818181818,"Continuous Presence","38.13-38.83",11
"Bryopsis spp",TRUE,FALSE,TRUE,0,242,10,0,103,12,0,"Avoidant","38.13-38.83",11
"Bugula neritina",TRUE,FALSE,FALSE,0,242,10,0,103,18,0,"Southern Only Presence","38.13-38.83",11
"Californiconus californicus",TRUE,FALSE,FALSE,0,313,10,0,108,217,0,"Southern Only Presence","38.13-38.83",11
"Calliarthron spp",TRUE,TRUE,TRUE,14,242,10,8,103,1229,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Calliostoma annulatum",TRUE,FALSE,FALSE,0,313,10,0,108,5,0,"Southern Only Presence","38.13-38.83",11
"Calliostoma canaliculatum",TRUE,FALSE,FALSE,0,313,10,0,108,25,0,"Southern Only Presence","38.13-38.83",11
"Calliostoma ligatum",TRUE,TRUE,TRUE,5,313,10,3,108,90,16.6666666666667,"Continuous Presence","38.13-38.83",11
"Calliostoma supragranosum",TRUE,FALSE,FALSE,0,313,10,0,108,1,0,"Southern Only Presence","38.13-38.83",11
"Callithamnion pikeanum",TRUE,TRUE,TRUE,15,242,10,10,103,330,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Callithamnion rupicola",TRUE,FALSE,FALSE,0,242,10,0,103,2,0,"Southern Only Presence","38.13-38.83",11
"Callophyllis spp",TRUE,TRUE,TRUE,2,242,10,2,103,68,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Cancer antennaria",TRUE,TRUE,TRUE,11,313,10,7,108,55,33.3333333333333,"Continuous Presence","38.13-38.83",11
"Cancer oregonensis",TRUE,FALSE,TRUE,0,313,10,0,108,3,0,"Avoidant","38.13-38.83",11
"Cancer productus",FALSE,FALSE,TRUE,0,313,10,0,108,1,0,"Northern Only Presence","38.13-38.83",11
"Carpopeltis bushiae",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Caulacanthus okamurae",TRUE,TRUE,FALSE,2,242,10,2,103,1831,9.09090909090909,"Northern Range Edge","38.13-38.83",11
"Ceratostoma foliatum",TRUE,FALSE,FALSE,0,313,10,0,108,5,0,"Southern Only Presence","38.13-38.83",11
"Ceratostoma nuttalli",TRUE,FALSE,FALSE,0,313,10,0,108,46,0,"Southern Only Presence","38.13-38.83",11
"Cerithiopsis spp",TRUE,FALSE,FALSE,0,313,10,0,108,2,0,"Southern Only Presence","38.13-38.83",11
"Chaetomorpha spp",TRUE,FALSE,TRUE,0,242,10,0,103,148,0,"Avoidant","38.13-38.83",11
"Chondracanthus canaliculatus",TRUE,TRUE,TRUE,9,242,10,6,103,5926,27.2727272727273,"Continuous Presence","38.13-38.83",11
"Chondracanthus corymbiferus/exaspertata",TRUE,TRUE,TRUE,4,242,10,4,103,74,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Chondracanthus harveyanus",TRUE,FALSE,FALSE,0,242,10,0,103,5,0,"Southern Only Presence","38.13-38.83",11
"Chondracanthus spinosus",TRUE,TRUE,TRUE,1,242,10,1,103,42,4.54545454545455,"Continuous Presence","38.13-38.83",11
"Chondria acrorhizophora",TRUE,FALSE,FALSE,0,242,10,0,103,21,0,"Southern Only Presence","38.13-38.83",11
"Chondria arcuata",TRUE,FALSE,FALSE,0,242,10,0,103,16,0,"Southern Only Presence","38.13-38.83",11
"Chondria dasyphylla",TRUE,FALSE,FALSE,0,242,10,0,103,16,0,"Southern Only Presence","38.13-38.83",11
"Chondria decipiens",TRUE,FALSE,FALSE,0,242,10,0,103,25,0,"Southern Only Presence","38.13-38.83",11
"Chondria nidifica",TRUE,FALSE,FALSE,0,242,10,0,103,157,0,"Southern Only Presence","38.13-38.83",11
"Chondria oppositiclada",TRUE,FALSE,FALSE,0,242,10,0,103,23,0,"Southern Only Presence","38.13-38.83",11
"Chone minuta",TRUE,FALSE,TRUE,0,242,10,0,103,88,0,"Avoidant","38.13-38.83",11
"Chthamalus dalli/fissus",TRUE,TRUE,TRUE,20,242,10,10,103,17343,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Cirolana spp/Gnorimosphaeroma oregonense",TRUE,TRUE,TRUE,5,313,10,2,108,82,20.8333333333333,"Continuous Presence","38.13-38.83",11
"Cladophora columbiana",TRUE,TRUE,TRUE,18,242,10,8,103,1559,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Cladophora graminea",TRUE,FALSE,FALSE,0,242,10,0,103,6,0,"Southern Only Presence","38.13-38.83",11
"Clavelina huntsmani",TRUE,FALSE,FALSE,0,242,10,0,103,4,0,"Southern Only Presence","38.13-38.83",11
"Codium fragile",TRUE,FALSE,TRUE,0,242,10,0,103,51,0,"Avoidant","38.13-38.83",11
"Codium setchellii",TRUE,FALSE,TRUE,0,242,10,0,103,19,0,"Avoidant","38.13-38.83",11
"Colonial diatom",TRUE,TRUE,TRUE,2,242,10,2,103,75,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Colpomenia/Leathesia spp",TRUE,TRUE,TRUE,4,242,10,4,103,184,13.6363636363636,"Continuous Presence","38.13-38.83",11
"Constantinea simplex",TRUE,TRUE,TRUE,2,242,10,2,103,109,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Corallina spp",TRUE,TRUE,TRUE,20,242,10,10,103,18213,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Corynactis californica",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Costaria costata",FALSE,TRUE,TRUE,6,242,10,3,103,93,18.1818181818182,"Southern Range Edge","38.13-38.83",11
"Crangon spp",TRUE,FALSE,FALSE,0,313,10,0,108,10,0,"Southern Only Presence","38.13-38.83",11
"Crepipatella lingulata",TRUE,FALSE,TRUE,0,313,10,0,108,11,0,"Avoidant","38.13-38.83",11
"Cryptochiton stelleri",TRUE,TRUE,TRUE,5,391,10,4,108,236,13.0434782608696,"Continuous Presence","38.13-38.83",11
"Cryptolithodes sitchensis",TRUE,FALSE,FALSE,0,313,10,0,108,5,0,"Southern Only Presence","38.13-38.83",11
"Cryptopleura/Hymenena spp",TRUE,TRUE,TRUE,20,242,10,10,103,3622,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Cryptosiphonia woodii",TRUE,TRUE,TRUE,9,242,10,6,103,922,22.7272727272727,"Continuous Presence","38.13-38.83",11
"Cucumaria miniata",FALSE,FALSE,FALSE,0,313,10,0,108,0,0,"Absent","38.13-38.83",11
"Cucumaria/Pseudocnus spp",TRUE,TRUE,TRUE,1,313,10,1,108,573,4.16666666666667,"Continuous Presence","38.13-38.83",11
"Cumagloia andersonii",TRUE,TRUE,TRUE,2,242,10,1,103,25,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Cyanoplax hartwegii",TRUE,TRUE,TRUE,8,313,10,4,108,1890,25,"Continuous Presence","38.13-38.83",11
"Cyanoplax spp",TRUE,TRUE,TRUE,28,313,10,10,108,1882,41.6666666666667,"Continuous Presence","38.13-38.83",11
"Dasya binghamiae",TRUE,FALSE,FALSE,0,242,10,0,103,18,0,"Southern Only Presence","38.13-38.83",11
"Dasysiphonia japonica",TRUE,FALSE,FALSE,0,242,10,0,103,1,0,"Southern Only Presence","38.13-38.83",11
"Delesseria decipiens",FALSE,FALSE,TRUE,0,242,10,0,103,5,0,"Northern Only Presence","38.13-38.83",11
"Dendrobeania lichenoides",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Dendronotus subramosus",TRUE,FALSE,FALSE,0,313,10,0,108,1,0,"Southern Only Presence","38.13-38.83",11
"Dendropoma lituella",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Derbesia marina",TRUE,FALSE,TRUE,0,242,10,0,103,12,0,"Avoidant","38.13-38.83",11
"Dermasterias imbricata",TRUE,TRUE,TRUE,5,391,10,4,108,683,17.3913043478261,"Continuous Presence","38.13-38.83",11
"Desmarestia ligulata",TRUE,TRUE,TRUE,4,242,10,3,103,121,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Diaperoecia californica",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Diaulula sandiegensis",TRUE,TRUE,TRUE,2,313,10,2,108,12,8.33333333333333,"Continuous Presence","38.13-38.83",11
"Dictyoneurum californicum",TRUE,TRUE,TRUE,1,242,10,1,103,12,4.54545454545455,"Continuous Presence","38.13-38.83",11
"Dictyopteris undulata",TRUE,FALSE,FALSE,0,242,10,0,103,22,0,"Southern Only Presence","38.13-38.83",11
"Dictyota binghamiae",TRUE,FALSE,FALSE,0,242,10,0,103,4,0,"Southern Only Presence","38.13-38.83",11
"Dictyota coriacea",TRUE,FALSE,FALSE,0,242,10,0,103,138,0,"Southern Only Presence","38.13-38.83",11
"Dilsea californica",TRUE,TRUE,TRUE,16,242,10,8,103,447,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Diodora aspera",TRUE,TRUE,TRUE,2,313,10,2,108,11,8.33333333333333,"Continuous Presence","38.13-38.83",11
"Dirona albolineata",TRUE,TRUE,FALSE,1,313,10,1,108,2,4.16666666666667,"Northern Range Edge","38.13-38.83",11
"Discurria insessa",TRUE,FALSE,TRUE,0,313,10,0,108,120,0,"Avoidant","38.13-38.83",11
"Distaplia occidentalis",TRUE,FALSE,TRUE,0,242,10,0,103,9,0,"Avoidant","38.13-38.83",11
"Dodecaceria spp",TRUE,TRUE,TRUE,11,242,10,5,103,239,27.2727272727273,"Continuous Presence","38.13-38.83",11
"Doris montereyensis",TRUE,FALSE,TRUE,0,313,10,0,108,3,0,"Avoidant","38.13-38.83",11
"Ectocarpus spp",TRUE,FALSE,FALSE,0,242,10,0,103,2,0,"Southern Only Presence","38.13-38.83",11
"Egregia menziesii",TRUE,TRUE,TRUE,16,242,10,9,103,5494,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Eisenia arborea",TRUE,FALSE,TRUE,0,242,10,0,103,141,0,"Avoidant","38.13-38.83",11
"Encrusting coralline",TRUE,TRUE,TRUE,19,242,10,9,103,8084,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Endarachne/Petalonia/Phaeostrophion spp",TRUE,FALSE,TRUE,0,242,10,0,103,381,0,"Avoidant","38.13-38.83",11
"Endocladia muricata",TRUE,TRUE,TRUE,20,242,10,10,103,14318,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Endoplura aurea",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Epiactis prolifera",TRUE,TRUE,TRUE,2,242,10,2,103,5,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Epitonium tinctum",TRUE,TRUE,TRUE,2,313,10,1,108,388,8.33333333333333,"Continuous Presence","38.13-38.83",11
"Erythroglossum californicum",TRUE,FALSE,TRUE,0,242,10,0,103,48,0,"Avoidant","38.13-38.83",11
"Erythrophyllum delesserioides",TRUE,TRUE,TRUE,18,242,10,8,103,222,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Eudendrium californicum",TRUE,FALSE,TRUE,0,242,10,0,103,2,0,"Avoidant","38.13-38.83",11
"Eudistoma psammion",TRUE,FALSE,FALSE,0,242,10,0,103,45,0,"Southern Only Presence","38.13-38.83",11
"Eudistoma ritteri",TRUE,TRUE,TRUE,1,242,10,1,103,4,4.54545454545455,"Continuous Presence","38.13-38.83",11
"Eudistylia polymorpha",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Eupentacta spp",FALSE,FALSE,TRUE,0,313,10,0,108,11,0,"Northern Only Presence","38.13-38.83",11
"Eurystomella bilabiata",TRUE,TRUE,TRUE,2,242,10,2,103,29,4.54545454545455,"Continuous Presence","38.13-38.83",11
"Evasterias troschelii",FALSE,FALSE,FALSE,0,391,10,0,108,0,0,"Absent","38.13-38.83",11
"Farlowia compressa",TRUE,FALSE,FALSE,0,242,10,0,103,3,0,"Southern Only Presence","38.13-38.83",11
"Farlowia mollis",TRUE,FALSE,FALSE,0,242,10,0,103,17,0,"Southern Only Presence","38.13-38.83",11
"Farlowia/Pikea spp",TRUE,TRUE,TRUE,4,242,10,4,103,93,18.1818181818182,"Continuous Presence","38.13-38.83",11
"Fissurella volcano",TRUE,FALSE,FALSE,0,313,10,0,108,4909,0,"Southern Only Presence","38.13-38.83",11
"Fissurellidea bimaculata",TRUE,FALSE,FALSE,0,313,10,0,108,5,0,"Southern Only Presence","38.13-38.83",11
"Flustrellidra corniculata",TRUE,FALSE,FALSE,0,242,10,0,103,4,0,"Southern Only Presence","38.13-38.83",11
"Fredericqia chiton",TRUE,FALSE,FALSE,0,242,10,0,103,1,0,"Southern Only Presence","38.13-38.83",11
"Fucus spp",TRUE,TRUE,TRUE,15,242,10,8,103,3137,31.8181818181818,"Continuous Presence","38.13-38.83",11
"Gastroclonium parvum",TRUE,FALSE,FALSE,0,242,10,0,103,162,0,"Southern Only Presence","38.13-38.83",11
"Gelidium purpurascens",TRUE,FALSE,FALSE,0,242,10,0,103,43,0,"Southern Only Presence","38.13-38.83",11
"Gelidium robustum",TRUE,FALSE,TRUE,0,242,10,0,103,128,0,"Avoidant","38.13-38.83",11
"Gelidium spp",TRUE,TRUE,TRUE,11,242,10,8,103,4262,31.8181818181818,"Continuous Presence","38.13-38.83",11
"Gloiopeltis furcata",TRUE,TRUE,TRUE,7,242,10,5,103,69,18.1818181818182,"Continuous Presence","38.13-38.83",11
"Gloiosiphonia californica",FALSE,TRUE,TRUE,3,242,10,3,103,4,9.09090909090909,"Southern Range Edge","38.13-38.83",11
"Gracilariopsis/Gracilaria spp",TRUE,FALSE,FALSE,0,242,10,0,103,423,0,"Southern Only Presence","38.13-38.83",11
"Grateloupia angusta",TRUE,FALSE,FALSE,0,242,10,0,103,2,0,"Southern Only Presence","38.13-38.83",11
"Grateloupia californica",TRUE,TRUE,TRUE,5,242,10,4,103,139,13.6363636363636,"Continuous Presence","38.13-38.83",11
"Grateloupia cornea",TRUE,FALSE,FALSE,0,242,10,0,103,4,0,"Southern Only Presence","38.13-38.83",11
"Halichondria panicea",TRUE,FALSE,TRUE,0,242,10,0,103,5,0,"Avoidant","38.13-38.83",11
"Halichondria spp",TRUE,TRUE,TRUE,7,242,10,6,103,57,22.7272727272727,"Continuous Presence","38.13-38.83",11
"Haliclona spp",TRUE,TRUE,TRUE,9,242,10,6,103,60,27.2727272727273,"Continuous Presence","38.13-38.83",11
"Halosaccion glandiforme",TRUE,TRUE,TRUE,14,242,10,8,103,769,27.2727272727273,"Continuous Presence","38.13-38.83",11
"Halymenia/Schizymenia spp",TRUE,TRUE,TRUE,13,242,10,8,103,221,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Haminoea vesicula",TRUE,FALSE,FALSE,0,313,10,0,108,13,0,"Southern Only Presence","38.13-38.83",11
"Haminoea virescens",TRUE,FALSE,FALSE,0,313,10,0,108,12,0,"Southern Only Presence","38.13-38.83",11
"Hapalospongidion gelatinosum",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Haplogloia andersonii",TRUE,TRUE,TRUE,2,242,10,2,103,11,9.09090909090909,"Continuous Presence","38.13-38.83",11
"Hapterophycus canaliculatus",TRUE,FALSE,TRUE,0,242,10,0,103,93,0,"Avoidant","38.13-38.83",11
"Hedophyllum sessile",FALSE,TRUE,TRUE,16,242,10,7,103,720,31.8181818181818,"Southern Range Edge","38.13-38.83",11
"Heliaster kubiniji",FALSE,FALSE,FALSE,0,391,10,0,108,0,0,"Absent","38.13-38.83",11
"Hemigrapsus nudus",TRUE,TRUE,TRUE,8,313,10,6,108,66,25,"Continuous Presence","38.13-38.83",11
"Hemigrapsus oregonensis",FALSE,FALSE,TRUE,0,313,10,0,108,1,0,"Northern Only Presence","38.13-38.83",11
"Henricia spp",TRUE,TRUE,TRUE,2,391,10,1,108,446,8.69565217391304,"Continuous Presence","38.13-38.83",11
"Hermissenda crassicornis",TRUE,TRUE,TRUE,2,313,10,2,108,32,8.33333333333333,"Continuous Presence","38.13-38.83",11
"Herposiphonia littoralis",TRUE,FALSE,FALSE,0,242,10,0,103,9,0,"Southern Only Presence","38.13-38.83",11
"Herposiphonia plumula",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Herposiphonia verticillata",TRUE,FALSE,FALSE,0,242,10,0,103,15,0,"Southern Only Presence","38.13-38.83",11
"Homalopoma spp",TRUE,TRUE,TRUE,3,313,10,3,108,191,8.33333333333333,"Continuous Presence","38.13-38.83",11
"Hypnea johnstonii",TRUE,FALSE,FALSE,0,242,10,0,103,12,0,"Southern Only Presence","38.13-38.83",11
"Hypnea valentiae",TRUE,FALSE,FALSE,0,242,10,0,103,164,0,"Southern Only Presence","38.13-38.83",11
"Hypnea variabilis",TRUE,FALSE,FALSE,0,242,10,0,103,5,0,"Southern Only Presence","38.13-38.83",11
"Idotea spp",TRUE,TRUE,TRUE,27,313,10,10,108,837,45.8333333333333,"Continuous Presence","38.13-38.83",11
"Jania rosea",TRUE,FALSE,FALSE,0,242,10,0,103,88,0,"Southern Only Presence","38.13-38.83",11
"Jania tenella",TRUE,FALSE,FALSE,0,242,10,0,103,13,0,"Southern Only Presence","38.13-38.83",11
"Jania verrucosa",TRUE,FALSE,FALSE,0,242,10,0,103,531,0,"Southern Only Presence","38.13-38.83",11
"Johansenia macmillanii",TRUE,TRUE,FALSE,2,242,10,1,103,4,9.09090909090909,"Northern Range Edge","38.13-38.83",11
"Katharina tunicata",TRUE,TRUE,TRUE,23,313,10,8,108,555,41.6666666666667,"Continuous Presence","38.13-38.83",11
"Kelletia kelletii",TRUE,FALSE,FALSE,0,313,10,0,108,9,0,"Southern Only Presence","38.13-38.83",11
"Lacuna spp",TRUE,TRUE,TRUE,18,313,10,10,108,18119,33.3333333333333,"Continuous Presence","38.13-38.83",11
"Laminaria ephemera",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","38.13-38.83",11
"Laminaria farlowii",TRUE,FALSE,FALSE,0,242,10,0,103,1,0,"Southern Only Presence","38.13-38.83",11
"Laminaria setchellii",TRUE,TRUE,TRUE,16,242,10,8,103,553,31.8181818181818,"Continuous Presence","38.13-38.83",11
"Laminaria sinclairii",TRUE,TRUE,TRUE,5,242,10,3,103,252,18.1818181818182,"Continuous Presence","38.13-38.83",11
"Laurencia pacifica/masonii",TRUE,FALSE,FALSE,0,242,10,0,103,462,0,"Southern Only Presence","38.13-38.83",11
"Laurencia spp",TRUE,FALSE,FALSE,0,242,10,0,103,15,0,"Southern Only Presence","38.13-38.83",11
"Lepidozona spp",TRUE,TRUE,TRUE,8,313,10,6,108,127,25,"Continuous Presence","38.13-38.83",11
"Leptasterias spp",TRUE,TRUE,TRUE,14,313,10,8,108,1995,29.1666666666667,"Continuous Presence","38.13-38.83",11
"Lessoniopsis littoralis",TRUE,FALSE,TRUE,0,242,10,0,103,10,0,"Avoidant","38.13-38.83",11
"Ligia spp",TRUE,TRUE,TRUE,3,313,10,3,108,32,12.5,"Continuous Presence","38.13-38.83",11
"Limacia cockerelli",TRUE,FALSE,FALSE,0,313,10,0,108,2,0,"Southern Only Presence","38.13-38.83",11
"Linckia columbiae",FALSE,FALSE,FALSE,0,391,10,0,108,0,0,"Absent","38.13-38.83",11
"Lirabuccinum dirum",TRUE,TRUE,TRUE,2,313,10,2,108,133,8.33333333333333,"Continuous Presence","38.13-38.83",11
"Lirularia/Margarites spp",TRUE,TRUE,TRUE,6,313,10,4,108,396,16.6666666666667,"Continuous Presence","38.13-38.83",11
"Lithophyllum/Lithothamnion spp",TRUE,TRUE,TRUE,2,242,10,2,103,159,4.54545454545455,"Continuous Presence","38.13-38.83",11
"Lithothrix aspergillum",TRUE,FALSE,FALSE,0,242,10,0,103,1542,0,"Southern Only Presence","38.13-38.83",11
"Littorina spp.",TRUE,TRUE,TRUE,29,313,10,10,108,737668,45.8333333333333,"Continuous Presence","38.13-38.83",11
"Lomentaria hakodatensis",TRUE,FALSE,FALSE,0,242,10,0,103,250,0,"Southern Only Presence","38.13-38.83",11
"Lottia asmi",TRUE,TRUE,TRUE,3,313,10,2,108,357,12.5,"Continuous Presence","38.13-38.83",11
"Lottia austrodigitalis/digitalis",TRUE,TRUE,TRUE,29,313,10,10,108,70520,45.8333333333333,"Continuous Presence","38.13-38.83",11
"Lottia fenestrata",TRUE,FALSE,TRUE,0,313,10,0,108,1030,0,"Avoidant","38.13-38.83",11
"Lottia instabilis",TRUE,TRUE,TRUE,3,313,10,2,108,229,12.5,"Continuous Presence","38.13-38.83",11
"Lottia limatula",TRUE,TRUE,TRUE,13,313,10,7,108,3715,25,"Continuous Presence","38.13-38.83",11
"Lottia paradigitalis/strigatella",TRUE,TRUE,TRUE,29,313,10,10,108,87755,45.8333333333333,"Continuous Presence","38.13-38.83",11
"Lottia pelta",TRUE,TRUE,TRUE,29,313,10,10,108,14378,45.8333333333333,"Continuous Presence","38.13-38.83",11
"Lottia persona",TRUE,FALSE,TRUE,0,313,10,0,108,82,0,"Avoidant","38.13-38.83",11
"Lottia polyfacies",TRUE,FALSE,FALSE,0,313,10,0,108,37,0,"Southern Only Presence","38.13-38.83",11
"Lottia scabra/conus",TRUE,TRUE,TRUE,29,313,10,10,108,120485,45.8333333333333,"Continuous Presence","38.13-38.83",11
"Lottia scutum",TRUE,TRUE,TRUE,22,313,10,9,108,2814,37.5,"Continuous Presence","38.13-38.83",11
"Macrocystis pyrifera",TRUE,FALSE,FALSE,0,242,10,0,103,74,0,"Southern Only Presence","38.13-38.83",11
"Macron lividus",TRUE,FALSE,FALSE,0,313,10,0,108,145,0,"Southern Only Presence","38.13-38.83",11
"Mastocarpus spp",TRUE,TRUE,TRUE,20,242,10,10,103,12690,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Maxwellia gemma",TRUE,FALSE,FALSE,0,313,10,0,108,5,0,"Southern Only Presence","38.13-38.83",11
"Mazzaella affinis",TRUE,TRUE,TRUE,4,242,10,3,103,821,18.1818181818182,"Continuous Presence","38.13-38.83",11
"Mazzaella flaccida/oregona/splendens",TRUE,TRUE,TRUE,20,242,10,10,103,11621,36.3636363636364,"Continuous Presence","38.13-38.83",11
"Mazzaella leptorhynchos",TRUE,FALSE,FALSE,0,242,10,0,103,455,0,"Southern Only Presence","38.13-38.83",11
"Mazzaella linearis",TRUE,TRUE,TRUE,4,242,10,3,103,87,13.6363636363636,"Continuous Presence","38.13-38.83",11
"Mazzaella parksii",TRUE,TRUE,TRUE,7,242,10,3,103,115,18.1818181818182,"Continuous Presence","38.13-38.83",11
"Mazzaella phyllocarpa",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","38.13-38.83",11
"Mazzaella volans",TRUE,FALSE,FALSE,0,242,10,0,103,23,0,"Southern Only Presence","38.13-38.83",11
"Megabalanus californicus",TRUE,FALSE,TRUE,0,242,10,0,103,3,0,"Avoidant","38.13-38.83",11
